rating;name;release_date;comment;like;platform
8;Spelunky 2 Review –  Snakes On A 2D Plane;1 hr ago;1;15;PS4
6;Surgeon Simulator 2 Review – Surgical Imprecision;1 day ago;2;8;PC
9;Hades Review – The Long, Hard Road Out of Hell;4 days ago;13;32;PC, NS
9;13 Sentinels: Aegis Rim Review – Wow, Cool Robot!;5 days ago;4;16;PS4
8;Super Mario 3D All-Stars Review – Shoot For The Stars;5 days ago;133;32;NS
2;Road To Guangdong Review – Are We There Yet?;5 days ago;5;8;PC
6;Vampire: The Masquerade - Shadows Of New York Review;7 days ago;2;7;PC, PS4, XONE, NS
8;Othercide Review – Flesh And Blood;12 days ago;3;14;PS4
7;Marvel's Avengers Review – Infinity War;12 days ago;211;54;PC
7;Tell Me Why Review;12 days ago;12;10;XONE, PC
8;Moon Review – The Bright Side;12 days ago;2;6;NS
8;Star Renegades Review – The Heat Of The Moment;13 days ago;4;16;PC
8;The Last Campfire Review – One Step At A Time;19 days ago;16;11;NS
8;Crusader Kings 3 Review – Vicious Cycles;19 days ago;56;34;PC
9;Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman;20 days ago;112;50;PS4, XONE
9;Paradise Killer Review;20 days ago;26;17;PC, NS
8;Evergate Review – Ever Great;20 days ago;6;5;PC, PS4, NS
6;Madden 21 Review – Feels More Like An Update;22 days ago;55;30;PS4
9;A Short Hike Review;22 days ago;10;5;PC, NS
7;Project Cars 3 Review – Into The Horizon;23 days ago;37;16;PS4, PC, XONE
6;Control AWE DLC Review – Haunted Oldest House;23 days ago;18;8;PC
5;Windbound Review – Against The Wind;26 days ago;2;5;PS4
5;Thousand Threads Review -- Post Secrets;27 days ago;0;4;PC
9;Spiritfarer Review – Purrrgatory;28 days ago;35;42;PC
7;No Straight Roads Review – Bangers And Smash;29 days ago;7;13;PC, NS
9;Microsoft Flight Simulator Review – Max Altitude;29 days ago;137;45;PC
3;Next Stop Nowhere Review – Bugs On The Windshield;29 days ago;0;9;IOS
8;PGA Tour 2K21 Review – For Purists And Newcomers Alike;30 days ago;11;30;PS4
9;Dead By Daylight Review (2020) – Toying With Terror;30 days ago;42;29;PC
8;Mortal Shell Review – Stone Souls;30 days ago;76;34;PC
5;Skater XL Review – Too Little To Skate;1 mo ago;7;6;PC
6;Battletoads Review – Middle-Aged Cartoon Alien Toads;1 mo ago;50;13;PC
6;Hyper Scape Review – 'Scape From The City;1 mo ago;17;7;PC, XONE
7;A Total War Saga: Troy Review - My Kingdom For A Centaur;1 mo ago;7;17;PC
8;Risk Of Rain 2 Review;1 mo ago;10;12;PC
7;Fall Guys: Ultimate Knockout Review - Major Chaos;1 mo ago;14;15;PC, PS4
5;Skully Review;1 mo ago;0;2;PC
9;Umurangi Generation Review - Cyberpunk Snap;1 mo ago;1;26;PC
8;Littlewood Review - Big Heart;1 mo ago;5;12;PC
9;Horizon Zero Dawn Review;1 mo ago;1744;649;PS4
6;Grounded Early Access Review - Little Acorns;1 mo ago;87;31;XONE, PC
9;Desperados 3 Review - Revolvers And Redos;1 mo ago;28;30;PC
7;Rock Of Ages 3: Make & Break Review - Let's Roll;1 mo ago;6;4;PC
5;Beyond A Steel Sky Review - Foster The Future;1 mo ago;15;10;PC, IOS
8;Panzer Paladin Review;1 mo ago;3;15;NS
4;Maid Of Sker Review - Backtracking Trip;1 mo ago;9;7;XONE
6;Destroy All Humans Review - Two Arms, Two Legs, And An Attitude;1 mo ago;28;12;XONE
7;Carrion Review;1 mo ago;36;22;PC, XONE, NS
7;Necrobarista Review;1 mo ago;3;8;PC
7;Ooblets Early Access Review;1 mo ago;9;7;XONE, PC
